team_id,team_name,short_name
IPL_T20_CSK,Chennai Super Kings,CSK
IPL_T20_DC,Delhi Capitals,DC
IPL_T20_GL,Gujarat Lions,GL
IPL_T20_GT,Gujarat Titans,GT
IPL_T20_KKR,Kolkata Knight Riders,KKR
IPL_T20_LSG,Lucknow Super Giants,LSG
IPL_T20_MI,Mumbai Indians,MI
IPL_T20_PBKS,Punjab Kings,PBKS
IPL_T20_RR,Rajasthan Royals,RR
IPL_T20_RPS,Rising Pune Supergiants,RPS
IPL_T20_RCB,Royal Challengers Bengaluru,RCB
IPL_T20_SRH,Sunrisers Hyderabad,SRH
IPL_T20_PW,Pune Warriors,PW
IPL_T20_KTK,Kochi Tuskers Kerala,KTK
